#TYPE Selected.System.ServiceProcess.ServiceController
"Status","Name","DisplayName"
"Running","ADWS","Services Web Active Directory"
"Running","AppMgmt","Gestion d?applications"
"Running","BFE","Moteur de filtrage de base"
"Running","BrokerInfrastructure","Service d?infrastructure des t?ches en arri?re-plan"
"Running","BthAvctpSvc","Service AVCTP"
"Running","cbdhsvc_9ea96","Service utilisateur du Presse-papiers_9ea96"
"Running","CDPSvc","Service de plateforme des appareils connect?s"
"Running","CDPUserSvc_9ea96","Service pour utilisateur de plateforme d?appareils connect?s_9ea96"
"Running","CertPropSvc","Propagation du certificat"
"Running","CoreMessagingRegistrar","CoreMessaging"
"Running","CryptSvc","Services de chiffrement"
"Running","DcomLaunch","Lanceur de processus serveur DCOM"
"Running","Dfs","Espace de noms DFS"
"Running","DFSR","R?plication DFS"
"Running","Dhcp","Client DHCP"
"Running","DHCPServer","Serveur DHCP"
"Running","DiagTrack","Exp?riences des utilisateurs connect?s et t?l?m?trie"
"Running","DNS","Serveur DNS"
"Running","Dnscache","Client DNS"
"Running","DPS","Service de strat?gie de diagnostic"
"Running","DsmSvc","Gestionnaire d?installation de p?riph?rique"
"Running","DsSvc","Service de partage des donn?es"
"Running","EventLog","Journal d??v?nements Windows"
"Running","EventSystem","Syst?me d??v?nement COM+"
"Running","FontCache","Service de cache de police Windows"
"Running","gpsvc","Client de strat?gie de groupe"
"Running","IKEEXT","Modules de g?n?ration de cl?s IKE et AuthIP"
"Running","iphlpsvc","Assistance IP"
"Running","IsmServ","Messagerie intersite"
"Running","Kdc","Centre de distribution de cl?s Kerberos"
"Running","KeyIso","Isolation de cl? CNG"
"Running","LanmanServer","Serveur"
"Running","LanmanWorkstation","Station de travail"
"Running","lmhosts","Assistance NetBIOS sur TCP/IP"
"Running","LSM","Gestionnaire de session locale"
"Running","mpssvc","Pare-feu Windows Defender"
"Running","MSDTC","Coordinateur de transactions distribu?es"
"Running","NcbService","Service Broker pour les connexions r?seau"
"Running","Netlogon","Netlogon"
"Running","netprofm","Service Liste des r?seaux"
"Running","NlaSvc","Connaissance des emplacements r?seau"
"Running","nsi","Service Interface du magasin r?seau"
"Running","NTDS","Services de domaine Active Directory"
"Running","Nutanix Guest Agent","Nutanix Guest Tools Agent"
"Running","Nutanix Self Service Restore Gateway","Nutanix Self Service Restore Gateway"
"Running","PcaSvc","Service de l?Assistant Compatibilit? des programmes"
"Running","PlugPlay","Plug-and-Play"
"Running","PolicyAgent","Agent de strat?gie IPsec"
"Running","Power","Alimentation"
"Running","ProfSvc","Service de profil utilisateur"
"Running","RasMan","Gestionnaire des connexions d?acc?s ? distance"
"Running","RpcEptMapper","Mappeur de point de terminaison RPC"
"Running","RpcSs","Appel de proc?dure distante (RPC)"
"Running","SamSs","Gestionnaire de comptes de s?curit?"
"Running","Schedule","Planificateur de t?ches"
"Running","SecurityHealthService","Service S?curit? Windows"
"Running","SENS","Service de notification d??v?nements syst?me"
"Running","SessionEnv","Configuration des services Bureau ? distance"
"Running","ShellHWDetection","D?tection mat?riel noyau"
"Running","SplunkForwarder","SplunkForwarder Service"
"Running","Spooler","Spouleur d?impression"
"Running","sshd","OpenSSH SSH Server"
"Running","SstpSvc","Service?SSTP (Secure Socket Tunneling Protocol)"
"Running","StateRepository","Service State Repository (StateRepository)"
"Running","StorSvc","Service de stockage"
"Running","SysMain","SysMain"
"Running","SystemEventsBroker","Service Broker des ?v?nements syst?me"
"Running","TabletInputService","Service du clavier tactile et du volet d??criture manuscrite"
"Running","TermService","Services Bureau ? distance"
"Running","Themes","Th?mes"
"Running","TimeBrokerSvc","Service Broker pour les ?v?nements horaires"
"Running","TokenBroker","Gestionnaire de comptes web"
"Running","UALSVC","Service de journalisation des acc?s utilisateur"
"Running","UmRdpService","Redirecteur de port du mode utilisateur des services Bureau ? distance"
"Running","UserManager","Gestionnaire des utilisateurs"
"Running","UsoSvc","Update Orchestrator Service"
"Running","vds","Disque virtuel"
"Running","W32Time","Temps Windows"
"Running","Wcmsvc","Gestionnaire des connexions Windows"
"Running","WdiSystemHost","H?te syst?me de diagnostics"
"Running","WdNisSvc","Service Inspection du r?seau de l?antivirus Windows Defender"
"Running","WinDefend","Service antivirus Windows Defender"
"Running","WinHttpAutoProxySvc","Service de d?couverte automatique de Proxy Web pour les services HTTP Windows"
"Running","Winmgmt","Infrastructure de gestion Windows"
"Running","WinRM","Gestion ? distance de Windows (Gestion WSM)"
"Running","WpnService","Service du syst?me de notifications Push Windows"
"Running","WpnUserService_9ea96","Service utilisateur de notifications Push Windows_9ea96"
